x,y
2678953.263999999966472,1257469.571999999927357
2663196.117000000085682,1253649.658000000054017
2669880.967000000178814,1259857.019000000087544
2653168.841000000014901,1249829.744000000180677
2646006.501999999862164,1250307.233000000007451
2641231.609000000171363,1246009.828999999677762
2636934.205000000074506,1237415.022000000113621
2631204.333000000100583,1236460.043000000063330
2620222.078999999910593,1239802.468000000109896
2617357.143999999854714,1235027.574999999953434
2615447.186000000219792,1230730.171000000089407
2609717.314999999944121,1221657.875000000000000
2607807.356999999843538,1221657.875000000000000
2597780.081999999936670,1224045.320999999996275
2588230.296000000089407,1225000.300000000046566
2580590.467000000178814,1224045.320999999996275
2575338.084999999962747,1219747.916999999899417
2571040.680999999865890,1216882.982000000076368
2564355.830999999772757,1212585.577999999979511
2558148.470000000204891,1208765.662999999942258
2550508.640999999828637,1202558.301999999908730
2547643.705000000074506,1196350.941000000108033
2541913.833000000100583,1191098.558999999891967
2537616.430000000167638,1189666.090999999782071
2532841.537000000011176,1183936.219999999972060
2529976.600999999791384,1180116.304999999934807
2536183.961999999824911,1175818.901000000070781
2538571.407999999821186,1171044.007999999914318
2534274.004999999888241,1163404.179999999934807
2528544.132999999914318,1161016.733000000007451
2524724.219000000040978,1156719.328999999910593
2533319.026000000070781,1155286.861000000033528
2544778.768999999389052,1153376.904000000096858
2549076.172999999951571,1151466.946999999927357
2558148.470000000204891,1149079.500000000000000
2563400.851999999955297,1145737.074999999953434
2565310.808999999891967,1139529.713999999919906
2565788.299000000115484,1135709.800000000046566
2572473.149000000208616,1128547.459999999962747
2570563.191999999806285,1121385.121000000042841
2571518.169999999925494,1115655.249000000068918
2573905.617000000085682,1109925.377000000094995
2582022.935000000055879,1112790.313000000081956
2586797.828000000212342,1117087.716999999945983
2596825.103000000119209,1120430.141999999992549
2603032.464000000152737,1122817.588999999919906
2604942.421999999787658,1124727.546000000089407
2613537.228999999817461,1127114.992000000085682
2624041.993999999947846,1128547.459999999962747
